entity,type
9d703d31795bac83c4dd90527d149796,S-MD5
a13c864980159cd9bdc94074b2389dda,S-MD5
UPX,S-TOOL
f4cab3a393462a57639faa978a75d10a,S-MD5
http,S-PROT
%AppData%\Video\videodrv.exe,S-FILE
%AppData%\Platform\sslwin.exe,S-FILE
CyCon,S-IDTY
US,S-LOC
Army,B-SECTEAM
Cyber,I-SECTEAM
Institute,E-SECTEAM
States,I-IDTY
Military,I-IDTY
Academy,E-IDTY
Cooperative,B-IDTY
Centre,I-IDTY
Excellence,E-IDTY
Visual,B-TOOL
Basic,I-TOOL
for,I-TOOL
Applications,E-TOOL
Conference_on_Cyber_Conflict.doc,S-FILE
Office,S-TOOL
base64,S-ENCR
PE,S-TOOL
netwf.dat,S-FILE
rundll32.exe,S-FILE
KlpSvc,S-TOOL
netwf.bat,S-FILE
netwf.dll,S-FILE
CLSID,S-TOOL
explorer.exe,S-FILE
e338d49c270baf64363879e5eecb8fa6bdde8ad9,S-SHA1
XOR,S-ENCR
GDI,S-TOOL
API,S-TOOL
Command,B-TOOL
&,I-TOOL
Control,E-TOOL
CC,S-TOOL
myinvestgroup[.]com,S-DOM
Wednesday,S-TIME
4th,I-TIME
October,E-TIME
0-day,S-VULNAME
June,B-TIME
2007,S-TIME
December,B-TIME
29,I-TIME
Soviet,B-LOC
Union,E-LOC
Syria,S-LOC
European,B-IDTY
Union,E-IDTY
Olympics,S-IDTY
Paralympics,S-IDTY
2014,E-TIME
Window,S-OS
North,B-IDTY
Atlantic,I-IDTY
Treaty,I-IDTY
Organization,E-IDTY
Organization,B-IDTY
Security,I-IDTY
Cooperation,I-IDTY
in,I-IDTY
Europe,E-IDTY
OSCE,S-IDTY
NOVEMBER,B-TIME
Germany,S-LOC
Christian,B-IDTY
Democratic,I-IDTY
CDU,S-IDTY
APRIL,B-TIME
-,I-TIME
MAY,I-TIME
AUGUST,S-TIME
2015,S-TIME
Afghan,B-IDTY
Pakistani,B-IDTY
Military,E-IDTY
JULY,B-TIME
nato-news.com,S-DOM
bbc-news.org,S-DOM
zero-day,S-VULNAME
military,E-IDTY
German,B-IDTY
Bundestag,I-IDTY
&,I-IDTY
Political,I-IDTY
Parties,E-IDTY
JUNE,B-TIME
Bundesamt,B-IDTY
für,I-IDTY
Verfassungsschutz,E-IDTY
BfV,S-IDTY
Kyrgyzstan,B-IDTY
OCTOBER,B-TIME
SEPTEMBER,B-TIME
AND,I-TIME
SEPTEMBER,I-TIME
Sedkit,S-MAL
13,E-TIME
12,I-TIME
APT29,S-APT
Guccifer,S-APT
September,S-TIME
October,S-TIME
November,S-TIME
WikiLeaks,S-TOOL
DCCC,S-IDTY
March,S-TIME
House,B-IDTY
Representative,E-IDTY
CORESHELL,S-TOOL
TV5Monde,S-IDTY
CyberCaliphate,S-APT
CEC,S-IDTY
CyberBerkut,S-APT
Rio,B-IDTY
Games,E-IDTY
7,I-TIME
Directorate,B-IDTY
Intelligence,E-IDTY
France,S-LOC
Netherlands,S-LOC
CHOPSTICK,S-MAL
Xagent,S-MAL
webhp,S-MAL
SPLM,S-MAL
EVILTOSS,S-MAL
Sedreco,S-MAL
AZZY,S-MAL
ADVSTORESHELL,S-MAL
NETUI,S-MAL
GAMEFISH,S-MAL
Sednit,S-MAL
JHUHUGIT,S-MAL
SOURFACE,S-MAL
CORESHELL,S-MAL
OLDBAIT,S-MAL
Sasfis,S-MAL
Player,S-TOOL
Java,S-TOOL
CVE-2015-1701,S-VULID
CVE-2015-2424,S-VULID
CVE-2015-2590,S-VULID
CVE-2015-3043,S-VULID
CVE-2015-5119,S-VULID
CVE-2015-7645,S-VULID
zero-days,S-VULNAME
Carberp,S-MAL
Empire,S-TOOL
P.A.S.,S-TOOL
Oauth,S-PROT
Threat,B-APT
Group,I-APT
4127,E-APT
Group-4127,E-APT
TG-4127,S-APT
SecureWorks,B-SECTEAM
Counter,I-SECTEAM
Threat,I-SECTEAM
Unit,E-SECTEAM
CTU,S-SECTEAM
Threat,B-SECTEAM
Group-4127,E-SECTEAM
Bitly,S-TOOL
Gmail,S-TOOL
spearphishing,S-ACT
America,S-LOC
hillaryclinton.com,S-DOM
www.hillaryclinton.com,S-DOM
MX,S-TOOL
aspmx.l.google.com,S-DOM
mid-March,B-TIME
mid-May,S-TIME
dnc.org,S-DOM
mid-March,S-TIME
mid-April,B-TIME
gop.com,S-DOM
Republican,B-IDTY
donaldjtrump.com,S-DOM
johnkasich.com,S-DOM
Drive,S-TOOL
White,B-IDTY
House,E-IDTY
STRONTIUM,S-APT
2008,S-TIME
Ukraine,S-LOC
2011-2012,S-TIME
Miniduke,S-APT
CosmicDuke,S-MAL
2013,S-TIME
Oracle,S-TOOL
Adobe,S-TOOL
EoP,S-TOOL
JKEYSKW,S-MAL
AZZYTrojan,S-MAL
A96F4B8AC7AA9DBF4624424B7602D4F7,S-MD5
29th,I-TIME
advshellstore.dll,S-FILE
9D2F9E19DB8C20DC0D20D50869C7A373,S-MD5
AppData\Local\Microsoft\Windows\msdeltemp.dll,S-FILE
CE8B99DF8642C065B6AF43FDE1F786A3,S-MD5
msdeltemp.dll,S-FILE
28th,I-TIME
8C4D896957C36EC4ABEB07B2802268B9,S-MD5
tf394kv.dll,S-FILE
24th,I-TIME
AZZY,B-MAL
backdoors,E-MAL
side-DLL,S-TOOL
Equation,S-APT
Flame,S-APT
USB,B-TOOL
stealer,E-TOOL
USBSTEALER,S-TOOL
8b238931a7f64fddcad3057a96855f6c,S-MD5
msdetltemp.dll,S-FILE
USB,S-TOOL
backdoor,E-MAL
Mimikatz,S-TOOL
DWN_DLL_MAIN.dll,S-FILE
ce8b99df8642c065b6af43fde1f786a3,S-MD5
Studio,E-TOOL
2015.07.28,B-TIME
13:05:20,E-TIME
GMT,S-TOOL
XOR-based,S-ENCR
%TEMP%\tf394kv.dll,S-FILE
10,B-TIME
minutes,E-TIME
%LOCAL_APPDATA%\dllhost.exe,S-FILE
%TEMP%\dllhost.exe,S-FILE
%LOCAL_APPDATA%\sechost.dll,S-FILE
%TEMP%\sechost.dll,S-FILE
%APPDATA%\chkdbg.log,S-FILE
intelnetservice.com,S-DOM
intelsupport.net,S-DOM
snd.dll,S-FILE
8c4d896957c36ec4abeb07b2802268b9,S-MD5
2015.07.24,B-TIME
12:07:27,E-TIME
3DES,S-ENCR
Wininet,S-TOOL
MSIE,S-TOOL
EXE,S-TOOL
c3ae4a37094ecfe95c2badecf40bf5bb,S-MD5
2015.02.10,B-TIME
10:01:59,E-TIME
Crypto,S-TOOL
PUBLICKEYSTRUC,S-TOOL
%LOCAL_APPDATA%\Microsoft\Windows,S-OS
__tmpdt.tmp,S-FILE
%SYSTEM%\sfc.dll,S-FILE
cmd,S-TOOL
f6f88caf49a3e32174387cacfa144a89,S-MD5
07:20:02,E-TIME
drivres-update.info,S-DOM
softupdates.info,S-DOM
Stealer,E-TOOL
0369620eb139c3875a62e36bb7abdae8,S-MD5
2015.02.09,B-TIME
11:48:01,E-TIME
8cb08140ddb00ac373d29d37657a03cc,S-MD5
NvCpld.dat,S-FILE
NvCpld.dll,S-FILE
IGFSRVC.dll,S-FILE
ce151285e8f0e7b2b90162ba171a4b90,S-MD5
2015.05.29,B-TIME
11:20:32,E-TIME
2006.11.25,B-TIME
04:39:15,E-TIME
Glavnoye,B-IDTY
razvedyvatel'noye,I-IDTY
upravleniye,E-IDTY
GRU,S-IDTY
Unit,B-APT
26165,E-APT
DCLeaks,S-APT
MacOS,S-OS
Android,S-OS
iOS,S-OS
DNC,S-TOOL
DCCC,S-TOOL
74455,E-APT
CrowdStrike,S-SECTEAM
Incident,B-SECTEAM
Response,E-SECTEAM
IR,S-SECTEAM
COZY,B-APT
BEAR,E-APT
FANCY,B-APT
CozyDuke,S-APT
APT,B-APT
29,E-APT
State,B-IDTY
Department,E-IDTY
Joint,B-IDTY
Chiefs,I-IDTY
Staff,E-IDTY
Western,B-LOC
Europe,E-LOC
Brazil,S-LOC
China,S-LOC
Mexico,S-LOC
New,B-LOC
Zealand,E-LOC
Turkey,S-LOC
Tools,E-TOOL
AdobeARM,S-TOOL
ATI-Agent,S-TOOL
MiniDionis,S-TOOL
28,E-APT
mid,B-TIME
2000s,E-TIME
Canada,S-LOC
Georgia,S-LOC
Iran,S-LOC
Malaysia,S-LOC
X-Tunnel,S-TOOL
WinIDS,S-MAL
Foozer,S-MAL
DownRage,S-MAL
Linux,S-OS
OSX,S-OS
IOS,S-OS
German,S-LOC
Bundestag,S-IDTY
TV5,B-IDTY
Monde,E-IDTY
summer,B-TIME
FSB,S-IDTY
SeaDaddy,S-MAL
Python,S-TOOL
py2exe,S-TOOL
Powershell,S-TOOL
Management,B-TOOL
Instrumentation,E-TOOL
WMI,S-TOOL
powershell,S-TOOL
MimiKatz,S-MAL
C:\Windows\twain_64.dll,S-FILE
NAT-ed,S-TOOL
RemCOM,S-IDTY
PsExec,S-TOOL
IoT,S-TOOL
2020,S-TIME
Mirai,B-TOOL
botnet,E-TOOL
MalwareMustDie,S-SECTEAM
Mirai,S-TOOL
VPN,B-MAL
Filter,E-MAL
Threat,B-TOOL
Intelligence,I-TOOL
Center,E-TOOL
VOIP,B-TOOL
phone,E-TOOL
office,B-TOOL
printer,E-TOOL
video,B-TOOL
decoder,E-TOOL
167.114.153.55,S-IP
94.237.37.28,S-IP
82.118.242.171,S-IP
31.220.61.251,S-IP
128.199.199.187,S-IP
Olympic,S-IDTY
BRONZE,B-APT
PRESIDENT,E-APT
NGOs,S-IDTY
non-governmental,B-IDTY
People's,B-IDTY
Republic,I-IDTY
China,E-IDTY
PRC,S-IDTY
NGO,S-IDTY
Secureworks,B-SECTEAM
mid-2018,S-TIME
East,I-LOC
.pptx,S-FILE
.xlsx,S-FILE
.pdf,S-FILE
Mongolia,S-LOC
East,B-LOC
Southeast,I-LOC
PRC-based,S-IDTY
PlugX,S-MAL
Cobalt,B-TOOL
Strike,E-TOOL
svchost.exe,S-FILE
and,I-TIME
August,I-TIME
2019,E-TIME
ORat,S-MAL
RCSession,S-MAL
English.rtf,S-FILE
Nbtscan,S-TOOL
NetBIOS,S-PROT
Adobe.exe,S-FILE
Nmap,S-TOOL
Wmiexec,S-TOOL
Chopper,S-TOOL
error404.aspx,S-FILE
Powerview.ps1,S-FILE
PowerShell-based,S-TOOL
PowerSploit,S-TOOL
PVE,B-TOOL
Find,I-TOOL
AD,I-TOOL
User,E-TOOL
Active,B-TOOL
Directory,E-TOOL
AD,S-TOOL
AdFind,S-TOOL
NetSess,S-TOOL
NetBIOS,S-TOOL
Netview,S-TOOL
TeamViewer,S-TOOL
ZIP,S-TOOL
LNK,S-TOOL
NTDS.dit,S-FILE
system.hive,S-FILE
VPS,S-TOOL
.rar,S-FILE
doc.bat,S-FILE
xls.bat,S-FILE
xlsx.bat,S-FILE
ppt.bat,S-FILE
pptx.bat,S-FILE
pdf.bat,S-FILE
txt.bat,S-FILE
all.bat,S-FILE
ipsoftwarelabs.com,S-DOM
toshibadrive.com,S-DOM
strust.club,S-DOM
svchosts.com,S-DOM
svrhosts.com,S-DOM
116.93.154.250,S-IP
a0758535cf8eb689782b95d3791d23d5,S-MD5
774a9c3ff01a3e734b7bec0c312120126295fad9,S-SHA1
2e8762c984468ee309dad30a6c5f6d3308676ac721357da442a8a5b9d9d65d82,S-SHA2
7101fff478290d4db8a1c11a8d3b40cb,S-MD5
4c81777551a772218519fb6dd1a6672aade4a936,S-SHA1
bdf1452b55b9974f3e9a4aea4439769a02fd931660ed655df92519a2a4df1261,S-SHA2
goopdate.dll,S-FILE
0617cad9e5d559356c43d4037c86227f,S-MD5
f14eaf5d648aebb2ed7b00b2cf4349263b30fb1c,S-SHA1
2ea9ccf653f63bcc3549a313ec9d0bada341556cc32dd2ca4b73e0c034492740,S-SHA2
AppleJeus,S-ACT
macOS,S-OS
QtBitcoinTrader,S-TOOL
Centrabit,S-IDTY
mach-o,S-TOOL
MarkMakingBot.dmg,S-FILE
be37637d8f6c1fbe7f3ffc702afdfe1d,S-MD5
2019-03-12,S-TIME
WFCUpdater.exe,S-FILE
wfcwallet.com,S-DOM
.NET,S-ACT
WFC,S-IDTY
a9e960948fdac81579d3b752e49aceda,S-MD5
.NET,S-FILE
WFC.cfg,S-FILE
108.174.195.134,S-IP
www.chainfun365.com,S-DOM
23.254.217.53,S-IP
rasext.dll,S-FILE
msctfp.dat,S-FILE
RasMan,S-TOOL
Connection,I-TOOL
Manager,E-TOOL
cmd.exe,S-FILE
Device.exe,S-FILE
CenterUpdater.exe,S-FILE
104.168.167.16,S-IP
UnionCryptoTrader,S-TOOL
0f03ec3487578cef2398b5b732631fec,S-MD5
Telegram,S-TOOL
Desktop\UnionCryptoTraderSetup.exe,S-FILE
WFCWallet,S-TOOL
window,S-OS
629b9de3e4b84b4a0aa605a3e9471b31,S-MD5
e1953fa319cc11c2f003ad0542bca822,S-MD5
Adobe.icx,S-FILE
iexplore.exe,S-FILE
dd03c6eb62c9bf9adaf831f1d7adcbab,S-MD5
Poland,S-LOC
Fallchill,S-MAL
CYBER,B-ACT
ESPIONAGE,E-ACT
Cybereason,B-SECTEAM
Nocturnus,E-SECTEAM
MoleRATs,S-APT
Gaza,B-APT
Cybergang,E-APT
2012,S-TIME
Spark,S-MAL
Spark,B-MAL
Pierogi,S-MAL
Cybereason,S-SECTEAM
Micropsia,S-MAL
Kaperagent,S-MAL
360,S-SECTEAM
Enigma,B-TOOL
Packer,E-TOOL
Cyber,B-ACT
Espionage,E-ACT
Middle,B-TOOL
East,E-TOOL
Pierogi,B-MAL
cyber,B-ACT
espionage,E-ACT
Moonlight,S-APT
DustySky,S-APT
Hacker,I-APT
Africa,E-LOC
Trojans,E-TOOL
Desert,B-APT
Falcons,E-APT
APT-C-23,S-APT
Arid,B-APT
Viper,E-APT
Kasperagent,S-MAL
Vamp,S-MAL
GnatSpy,S-MAL
Asia,S-LOC
2006,S-TIME
Gaza,S-APT
Lebanon,S-LOC
Tehran,S-LOC
Egnyte,S-TOOL
Dropbox,S-TOOL
rar,S-TOOL
zip,S-TOOL
Al-Ahram,S-IDTY
Hamas,S-LOC
Haniyeh_will_remain_abroad_and_Hamas_rises_in_Gaza.pdf,S-FILE
5b476e05aacea9edc14f7e4bab1b724ef54915f30c39ac87503ed395feae611e,S-SHA2
https://csaasd.egnyte.com/dd/h5s7YHzOy5,S-URL
.r23,S-FILE
Hanieh_will_remain_abroad_and_Hamas_steps_up_in_Gaza.r23,S-FILE
e8d73a94d8ff18c7791bf4547bc4ee2d3f62082c594d3c3cf7d640f7bbd15614,S-SHA2
Hanieh_will_remain_abroad_and_Hamas_steps_up_in_Gaza.exe,S-FILE
7bb719f1c64d627ecb1f13c97dc050a7bb1441497f26578f7b2a9302adbbb128,S-SHA2
Autoit,S-TOOL
C:\Users\user\AppData\Roaming\Microsoft\Windows\Start,B-FILE
Menu\Programs\Startup\runawy.exe,E-FILE
C:\Users\user\runawy.exe,S-FILE
C:\Users\<USER>\runawy.exe,S-FILE
Urgent_Information_Report.exe,S-FILE
6e896099a3ceb563f43f49a255672cfd14d88799f29617aa362ecd2128446a47,S-SHA2
%appdata%\info.docx,S-FILE
2c50eedc260c82dc176447aa4116ad37112864f4e1e3e95c4817499d9f18a90d,S-SHA2
Menu\Programs\Startup\Blaster.lnk,E-FILE
4254dc8c368cbc36c8a11035dcd0f4b05d587807fa9194d58f0ba411bfd65842,S-SHA2
C:\Users\user\AppData\Roaming\Blaster.exe,S-FILE
cf32479ed30ae959c4ec8a286bb039425d174062b26054c80572b4625646c551,S-SHA2
XtremeRAT,S-MAL
DustySky,S-MAL
MoleRAT,S-MAL
Scote,S-MAL
2019,S-TIME
PDB,S-TOOL
W:\Visual,B-FILE
2017\Spark4.2\Release\Spark4.2.pdb,E-FILE
Enigma,S-TOOL
b08b8fddb9dd940a8ab91c9cb29db9bb611a5c533c9489fb99e36c43b4df1eca,S-SHA2
WinLister,S-TOOL
windows,S-OS
Spark4.2,S-MAL
Nysura.com,S-DOM
cnet.com,S-DOM
nysura.com,S-DOM
Base64-encoded,S-ENCR
Micropsia,B-MAL
Middle,B-MAL
East,E-MAL
Fatah,S-LOC
MuddyC3,S-TOOL
MuddyWater,S-APT
IRAN,S-APT
Tajikistan,S-LOC
POWERSTATS,S-MAL
26,I-TIME
Green,B-APT
Leakers,E-APT
muddyc3,S-TOOL
github,S-TOOL
SOC,S-TOOL
python2.7,S-TOOL
HTA,S-TOOL
bas64,S-ENCR
AV,S-TOOL
POC,S-TOOL
Kaspersky,S-TOOL
Trendmicro,S-TOOL
CLI,S-TOOL
Nitro,S-APT
July,I-TIME
2011,E-TIME
midSeptember,B-TIME
espionage,S-ACT
PoisonIvy,S-MAL
Bangladesh,S-LOC
poisonivy-rat.com,S-DOM
7zip,S-TOOL
AntiVirus_update_package.7z,S-FILE
acquisition.7z,S-FILE
offer.7z,S-FILE
update_flashplayer10ax.7z,S-FILE
%Temp%\happiness.txt,S-FILE
%Temp%\xxxx.exe,S-FILE
xxxx.exe,S-FILE
happiness.txt,S-FILE
C:\PROGRAM,B-FILE
FILES\common,I-FILE
files\ODBC\ODUBC.DLL,E-FILE
C:\WINDOWS\system32\jql.sys,S-FILE
%System%\winsys.exe,S-FILE
Camellia,S-ENCR
Backdoor.Odivy,S-FILE
204.74.215.58,S-IP
QQ,S-TOOL
antivirus-groups.com,S-DOM
org,S-DOM
173.252.207.71,S-IP
173.252.205.36,S-IP
173.252.205.37,S-IP
173.252.205.64,S-IP
74.82.166.205,S-IP
domain.rm6.org,S-DOM
216.131.95.22,S-IP
222.255.28.27,S-IP
anti-virus.sytes.net,S-DOM
Backdoor.Sogu,S-FILE
Sogu,S-IDTY
Outlaw,S-APT
June,S-TIME
December,S-TIME
Linux-,S-OS
Unix-based,S-OS
CVE-2016-8655,S-VULID
Dirty,B-VULNAME
COW,E-VULNAME
CVE-2016-5195,S-VULID
PHP-based,S-TOOL
SSH,S-PROT
Telnet,S-PROT
base-64,S-ENCR
tgz,S-TOOL
png,S-TOOL
jpg,S-TOOL
/tmp/up.txt,S-FILE
2e2c9d08c7c955f6ce5e27e70b0ec78a888c276d71a72daa0ef9e3e40f019a1a,S-SHA2
CPU,S-TOOL
dota3,S-TOOL
dota2,S-TOOL
ELF,S-TOOL
0c458dfe0a2a01ab300c857fdc3373b75fbb8ccfa23d16eff0d6ab888a1a28f6,S-SHA2
93ce211a71867017723cd78969aa4cac9d21c3d8f72c96ee3e1b2712c0eea494,S-SHA2
Perl-obfuscated,S-TOOL
Shellbot,S-MAL
Unix-,S-OS
Linux-based,S-OS
Trojan.SH.MALXMR.UWEJP,S-MAL
1800de5f0fb7c5ef3c0d9787260ed61bc324d861bc92d9673d4737d1421972aa,S-SHA2
Backdoor.SH.SHELLBOT.AA,S-MAL
b68bd3a54622792200b931ee5eebf860acf8b24f4b338b5080193573a81c747d,S-SHA2
Trojan.Linux.SSHBRUTE.B,S-MAL
620635aa9685249c87ead1bb0ad25b096714a0073cfd38a615c5eb63c3761976,S-SHA2
Coinminer.Linux.MALXMR.SMDSL32,S-MAL
fc57bd66c27066104cd6f8962cd463a5dfc05fa59b76b6958cddd3542dfe6a9a,S-SHA2
Coinminer.Linux.MALXMR.SMDSL64,S-MAL
649280bd4c5168009c1cff30e5e1628bcf300122b49d339e3ea3f3b6ff8f9a79,S-SHA2
SharePoint,S-TOOL
unknown,S-APT
CVE-2019-0604,S-VULID
AntSword,S-TOOL
Github,S-TOOL
2020,E-TIME
Shodan,S-TOOL
Impacket,S-TOOL
19,I-TIME
Emissary,B-APT
Panda,E-APT
Eastern,E-LOC
April,S-ACT
IIS,S-TOOL
User-Agent,S-TOOL
Palo,B-TOOL
Alto,I-TOOL
Networks,E-TOOL
/_layouts/15/picker.aspx,S-FILE
cmd.txt,S-FILE
c.aspx,S-FILE
Awen,S-TOOL
asp.net,S-FILE
5d4628d4dd89f31236f8c56686925cbb1a9b4832f81c95a4300e64948afede21,S-SHA2
awen,S-TOOL
a.txt,S-FILE
bitreeview.aspx,S-FILE
Shell,B-TOOL
15ecb6ac6c637b58b2114e6b21b5b18b0c9f5341ee74b428b70e17e64b7da55e,S-SHA2
es.exe,S-FILE
da53dcaeede03413ba02802c4be10883c4c28d3d28dee11734f048b90eb3d304,S-SHA2
Rar.exe,S-FILE
WinRAR,S-TOOL
26d9212ec8dbca45383eb95ec53c05357851bd7529fa0761d649f62e90c4e9fd,S-SHA2
atec.exe,S-FILE
a4aca75bcc8f18b8a2316fd67a7e545c59b871d32de0b325f56d22584038fa10,S-SHA2
dmp.exe,S-FILE
Dumpert,S-TOOL
e4e05c9a216c2f2b3925293503b5d5a892c33db2f6ea58753f032b80608c3f2e,S-SHA2
Outflanknl,S-TOOL
LSASS,S-TOOL
EDR,S-TOOL
17,I-TIME
winexesvc.exe,S-FILE
77e7fb6b56c3ece4ef4e93b6dc608be0,S-MD5
SHA1,S-ENCR
f46f84e53263a33e266aae520cb2c1bd0a73354e,S-SHA1
5130f600cd9a9cdc82d4bad938b20cbd2f699aadb76e7f3f1a93602330d9997d,S-SHA2
5e70a5c47c6b59dae7faf0f2d62b28b3,S-MD5
cdeea936331fcdd8158c876e9d23539f8976c305,S-SHA1
730a0e3daf0b54f065bdd2ca427fbe10e8d4e28646a5dc40cbcfb15e1702ed9a,S-SHA2
2015-04-22,B-TIME
10:49:54,E-TIME
Server,E-TOOL
Winexe,S-TOOL
PSExec,S-TOOL
ftp,S-PROT
Admin,B-TOOL
Controller,E-TOOL
Xtunnel,S-MAL
176.31.112.10,S-IP
-SSL,S-PROT
SSL,S-PROT
TLS,S-PROT
OpenSSL,S-TOOL
2013,E-TIME
Heartbleed,S-VULNAME
Operation,B-APT
Pawn,I-APT
Ministries,B-IDTY
Internal,E-IDTY
Foreign,B-IDTY
Georgian,B-IDTY
Internal,I-IDTY
Georgian,S-LOC
OVH,S-TOOL
CrookServers.com,S-IDTY
16th,I-TIME
CrookServers,S-IDTY
213.251.187.145,S-IP
b84b66bcdecd4b4529014619ed649d76,S-MD5
fef1725ad72e4ef0432f8cb0cb73bf7ead339a7c,S-SHA1
sha1,S-ENCR
RSA,S-ENCR
mail.mfa.gov.ua,S-DOM
Ukrainian,B-IDTY
qov.al,S-DOM
PwC,S-IDTY
454-reverse.crookservers.net,S-DOM
12th,I-TIME
0day,S-VULNAME
IOC,S-TOOL
SOURFACE,S-APT
USB,B-MAL
stealers,E-MAL
later,B-TIME
Anti-Doping,I-IDTY
Court,B-IDTY
Arbitration,I-IDTY
Sports,E-IDTY
CAS,S-IDTY
CyberBerkut,S-ACT
Darkhotel-style,S-ACT
Asian,E-LOC
East,S-LOC
CVE-2017-0262,S-VULID
CVE-2017-0263,S-VULID
Trump,B-FILE
’s_Attack_on_Syria_English.docx,E-FILE
early-to-mid,B-TIME
XAgent,S-MAL
mid-November,B-TIME
AutoIT,S-TOOL
Zebrocy,S-MAL
spearphish,S-ACT
MSIL,S-TOOL
Covfacy,S-TOOL
.doc,S-FILE
.docx,S-FILE
.xls,S-FILE
.ppt,S-FILE
.exe,S-FILE
.zip,S-FILE
C++,S-TOOL
COM,S-TOOL
TLSv1,S-PROT
TLSv1.2,S-PROT
second,B-TIME
half,I-TIME
smtp,S-PROT
OS,B-OS
X,E-OS
Afghanistan,S-LOC
Bosnia,S-LOC
Herzegovina,S-LOC
SAS,S-IDTY
SPLM,B-MAL
HTTPS,S-PROT
