Nationality,Nation
Melbournian,Melbourne
Melbournite,Melbourne
Melburnian,Melbourne
Melian,Melos
Melillense,Melilla
Melitian,Melite
Memphian,Memphis
Mendocino,Mendoza
Mentonasque,Menton
Merian,Meru
Meridano,Mérida
Mesopotamian,Mesopotamia
Messenian,Messenia
Messinese,Messina
Methymnian,Mithymna
Mexicalense,Mexicali
Mexican,Mexico
Mexican,Mexico
Mexicano,Mexico
Mexiquense,México
Miamian,Miami
Michigander,Michigan
Michiganer,Michigan
Michiganese,Michigan
Michiganian,Michigan
Michiganite,Michigan
Michigine,Michigan
Michoacano,Michoacán
Micronesian,Micronesia
MiddleEastern,MiddleEast
MiddleEasterner,MiddleEast
Milanese,Milan
Milesian,Miletus
Milwaukeean,Milwaukee
Mindoreño,OrientalMindoro
Mineiro,MinasGerais
Minneapolitan,Minneapolis
Minnesotan,Minnesota
Minorcan,Minorca
Minotian,Minot
Miquelonnais,SaintPierreAndMiquelon
Miraflorino,Miraflores
Misionero,Misiones
Misratan,Misrata
Mississippian,Mississippi
Missourian,Missouri
Mizo,Mizoram
Modenese,Modena
Moldavian,Moldavia
Moldenser,Molde
Moldovan,Moldova
Moluccan,Moluccas
Monacan,Monaco
Monégasque,Monaco
Mongol,Mongolia
Mongolian,Mongolia
Montanan,Montana
Montenegrin,Montenegro
Montreal,Montreal
Montréalais,Montreal
Montrealer,Montreal
Montréaler,Montreal
Montserratian,Montserrat
MooseJavian,MooseJaw
Moosejavian,MooseJaw
Moqueguano,Moquegua
Moravian,Moravia
Morelense,Morelos
Moreliano,Morelia
Møring,MøreOgRomsdal
Moroccan,Morocco
Moroleonés,Moroleón
Morsing,Mors
Mosotho,Lesotho
Motswana,Botswana
Mountaineers,MountainProvince
Mozambican,Mozambique
Mumbaikar,Mumbai
Mumbaikars,Mumbai
Münchner,Munich
Munsonian,Muncie
Murcí,Murcia
Murcian,Murcia
Murciano,Murcia
Muscovia,Moscow
Muscovite,Moscow
Muskrat,Delaware
Myanmar,Burma
Myanmarese,Myanmar
Mycenaean,Mycenae
Mytilenean,Mytilene
Naga,Nagaland
Nagalandese,Nagaland
Nagasakian,Nagasaki
Nagoyan,Nagoya
Namibian,Namibia
Napieran,Napier
Napoletano,Naples
Narnian,Narnia
Nashvillian,Nashville
Nassuvian,Nassau
Natalense,Natal
Naupactian,Naupactus
Nauruan,Nauru
Navarrese,Navarre
Navarro,Navarra
Naxian,Naxos
Nayarita,Nayarit
Nazarene,Nazareth
Neapolitan,Naples
Nebraskan,Nebraska
NegeriSembilanese,NegeriSembilan
Negrense,NegrosOriental
Nelson,Nelson
Nelsonian,NelsonRegion
Neolonés,NuevoLeón
Nepali,Nepal
Netherlander,TheNetherlands
Netherlandic,Netherlands
Neuquino,Neuquen
Nevadian,Nevada
Nevisian,SaintKittsAndNevis
NewBrunswick,NewBrunswick
NewBrunswickan,NewBrunswick
NewBrunswickian,NewBrunswick
NewCaledonian,NewCaledonia
NewEngland,NewEngland
NewEnglander,NewEngland
NewGuinian,NewGuinea
NewHampshireman,NewHampshire
NewHampshirewoman,NewHampshire
NewHampshirite,NewHampshire
NewJerseyite,NewJersey
NewMexican,NewMexico
NewOrleanian,NewOrleans
NewSouthWalesian,NewSouthWales
NewSouthWelsh,NewSouthWales
NewYork,NewYorkCity
NewYorker,NewYork
NewZealand,NewZealand
NewZealander,NewZealand
Newf,NewfoundlandAndLabrador
Newfie,NewfoundlandAndLabrador
NewfoundlandAndLabrador,NewfoundlandAndLabrador
Newfoundlander,NewfoundlandAndLabrador
Newfy,NewfoundlandAndLabrador
Newportonian,Newport
Nicaraguan,Nicaragua
Nicobar,AndamanAndNicobarIslands
Nicobarese,AndamanAndNicobarIslands
Niçois,Nice
Nicolaíta,SanNicolásDeLosGarza
Nicosian,Nicosia
Nicoya,Nicaragua
Nigerian,Nigeria
Nigerien,Niger
Nihonjin,Nihon
Nilotic,NileRiver
Nipponjin,Nihon
Nisyrian,Nisyros
Niteroiense,Niterói
Niuean,Niue
NiVanuatu,Vanuatu
Norbiense,Cáceres
Nordlending,Nordland
Nordmann,Norway
Nordtrønder,NordTrøndelag
NorfolkIsland,NorfolkIsland
NorfolkIslander,NorfolkIsland
Norman,Normandy
NorteRioGrandense,RioGrandeDoNorte
NorthAgusanian,AgusanDelNorte
NorthAmerican,NorthAmerica
NorthCamarinean,CamarinesNorte
NorthCarolinian,NorthCarolina
NorthDakotan,NorthDakota
NorthDavao,DavaoDelNorte
NorthIlocos,IlocosNorte
NorthIsland,NorthIsland
NorthKorean,NorthKorea
NorthLanao,LanaoDelNorte
NorthSamarian,NorthernSamar
NorthSurigaoan,SurigaoDelNorte
NorthZamboangan,ZamboangaDelNorte
Northamptonian,Northampton
NorthernIrish,NorthernIreland
NorthernIrishman,NorthernIreland
NorthernIrishwoman,NorthernIreland
NorthernMarianan,NorthernMarianaIslands
NorthernTerritory,NorthernTerritory
Northland,NorthlandRegion
Northumbrian,Northumberland
NorthwestTerritorian,NorthwestTerritories
Northwesterner,NorthwestTerritories
Norwegian,Norway
Nottinghamian,Nottingham
NovaScotian,NovaScotia
NovoEcijano,NuevaEcija
NovoVizcayano,NuevaVizcaya
Novocastrian,Newcastle
Nubian,Nubia
NuevaEcijan,NuevaEcija
NuevaVizcayan,NuevaVizcaya
Nuevoleonés,NuevoLeón
Numedøl,Numedal
Nunavitian,NunavutTerritory
Nunavummiuq,Nunavut
Nunavut,Nunavut
Nutmegger,Connecticut
Nz,NewZealand
Oakbankian,Oakbank
Oaklander,Oakland
Oamaru,Oamaru
Oamaruvian,Oamaru
Oaxacan,Oaxaca
Oaxaqueño,Oaxaca
Obanite,Oban
Oceanian,Oceania
Odenseaner,Odense
Odessit,Odessa
Odessite,Odessa
Odia,Odisha
Odishan,Odisha
Odissi,Odisha
Oean,Oea
Ohioan,Ohio
Oiniadan,Oiniades
Okie,Oklahoma
Okinawan,Okinawa
Oklahoman,Oklahoma
Olvisino,Huelva
Olympian,Olympia
Omakian,Omak
Omani,Oman
Ontarian,Ontario
Ontario,Ontario
Onubense,Huelva
Opplending,Oppland
Orcadian,OrkneyIslands
Orcelitano,Orihuela
Oregonian,Oregon
Oriolano,Orihuela
Oriya,Odisha
Osakan,Osaka
Oscense,Huesca
Oslofolk,Oslo
Oslovian,Oslo
Østfolding,Østfold
Otago,OtagoRegion
Ottawan,Ottawa
Oxonian,Oxford
Ozian,Oz
Ozzie,Australia
Paceño,LaPaz
Pacense,Badajoz
Pachuqueño,Pachuca
Padane,PoRiver
PaddockLaker,PaddockLake
Paduan,Padua
Paeonian,Paeonia
Pahangite,Pahang
Paisa,Antioquia
Pakistani,Pakistan
Palatine,Palatinate
Palauan,Palau
Palawan,Palawan
Palaweño,Palawan
Palentino,Palencia
Palermitan,Palermo
Palestinian,Palestine
Palmense,Palmas
Palmerstonian,PalmerstonNorth
Paludian,Slough
Pampangan,Pampanga
Pampangueño,Pampanga
Pampeaño,LaPampa
Pamphylian,Pamphylia
Panamanian,Panama
Pangasinan,Pangasinan
Pangasinense,Pangasinan
Papal,PapalStates
PapuaNewGuinean,PapuaNewGuinea
Papuan,PapuaNewGuinea
Paraense,Pará
Paraguayan,Paraguay
Paraibano,Paraíba
Paranaense,Paraná
Paranense,Paraná
Parian,Paros
Parisian,Paris
Parisienne,Paris
Parmesan,Parma
Parmigiano,Parma
Pasqueño,Pasco
Patagonian,Patagonia
Patmian,Patmos
Patriciense,Córdoba
Paulista,SãoPaulo
Paulistano,SãoPaulo
Pegswardian,Pegswood
Pekinese,Beijing
Peloponnesian,Peloponnese
Penangite,Penang
Peninsular,PeninsularMalaysia
Pennamite,Pennsylvania
Pennine,Pennines
Pennsylvanian,Pennsylvania
Perakian,Perak
Pergamian,Pergamum
Perlisian,Perlis
Pernambucano,Pernambuco
Persian,Persia
Perth,Perth
Perthian,Perth
Perthite,Perth
Perthling,Perth
Perugian,Perugia
Peruvian,Peru
Pessoense,JoãoPessoa
Peterborian,Peterborough
Peterbourian,Peterborough
Phanariote,Phanar
Philadelphian,Philladelphia
Philippian,Philippi
Philippine,Philippines
Philistine,Philistia
Phliasian,Phlius
Phocian,Phocis
Phoenician,Phoenix
Phoenixer,Phoenix
Phrygian,Phrygia
Piauiense,Piauí
Picard,Picardy
Piedmontese,Piedmont
Pinay,Philippines
Pinciano,Valladolid
PineTree,Maine
Pinoy,Philippines
Pisan,Pisa
Pisidian,Pisidia
Pisqueño,Pisco
PitcairnIsland,PitcairnIslands
PitcairnIslander,PitcairnIslands
Pittsburgher,Pittsburgh
Pittsburghese,Pittsburgh
Piurano,Piura
Platense,LaPlata
Plymothian,Plymouth
Plymouthian,Plymouth
Poblano,Puebla
Polaco,Catalonia
Pole,Poland
Polish,Poland
Polmontarian,Polmont
Polynesian,Polynesia
Pomeranian,Pomerania
Pompeian,Pompeii
Pompeiian,Pompeii
Pondicherrian,Puducherry
Ponferradian,Ponferrada
Pontevedrés,Pontevedra
Pontian,Pontus
Porteño,BuenosAires
Portlander,Portland
PortoAlegrense,PortoAlegre
PortoVelhense,PortoVelho
Portuense,Porto
Portuguese,Portugal
Posadeño,Posadas
Potiguar,RioGrandeDoNorte
Potosino,SanLuisPotosí
Praguer,Prague
PrinceEdwardIsland,PrinceEdwardIsland
PrinceEdwardIslander,PrinceEdwardIsland
Provençal,Provence
Providentian,Providence
Prussian,Prussia
Pucelano,Valladolid
Pueblan,Puebla
PuertoRican,PuertoRico
Punekar,Pune
Punekars,Pune
Puneño,Puno
Punjabi,Punjab
Puntlander,Puntland
Putrajayan,Putrajaya
Pylian,Pylos
Pylosian,Pylos
Qatari,Qatar
Quebec,Quebec
Quebecan,Quebec
Quebecer,Quebec
Quebecers,Quebec
Quebecian,Quebec
Quebecker,Quebec
Quebeckers,Quebec
Quebecois,Quebec
Québécois,Quebec
Queens,Queens
Queensite,Queens
Queensland,Queensland
Queenslander,Queensland
Queretan,Querétaro
Queretano,Querétaro
Quezonian,Quezon
Quintanaroan,QuintanaRoo
Quintanarroense,QuintanaRoo
Quirinian,Quirino
Rajasthani,Rajasthan
Randallite,Randall
Randrusianer,Randers
Rawsense,Rawson
Readingite,Reading
Recifense,Recife
Regina,Regina
Reginaian,Regina
Reginan,Regina
Regiomontano,Monterrey
Reinero,NuevoLeón
Reman,Remus
Rémois,Reims
Renoite,Reno
Resistenciano,Resistencia
Rethymnian,Rethymno
Reunionese,Reunion
Réunionese,Réunion
Réunionnais,Réunion
Rhegian,Rhegion
Rhegine,Rhegion
Rhenish,Rhineland
Rhinelander,Rhineland
Rhithymnian,Rhithymna
RhodeIslander,RhodeIsland
Rhodean,RhodeIsland
Rhodesian,Rhodesia
Rhodian,Rhodes
Richmonder,Richmond
Rigan,Riga
RioBranquense,RioBranco
RioGrandenseDoNorte,RioGrandeDoNorte
RioGrandenseDoSul,RioGrandeDoSul
Riojano,LaRioja
Rionegrino,RíoNegro
Riverian,RiversState
Rizaleño,Rizal
Rizalian,Rizal
Rochesterian,Rochester
Rogalending,Rogaland
Rohirric,Rohan
Roman,Rome
Romanian,Romania
Romblonian,Romblon
Romsdøl,MøreOgRomsdal
Romulan,Romulus
Rondonense,Rondônia
Roraimense,Roraima
Roskildenser,Roskilde
Rotoruan,Rotorua
Rotterdammer,Rotterdam
Ruskinite,Ruskin
Russian,Russia
Russianc,SovietUnion
Rwandan,Rwanda
Rwandese,Rwanda
Ryukyuan,RyukyuIslands
Saami,Lapland
Saba,Saba
Sabahan,Sabah
Sabine,Sabinium
Sacramentan,Sacramento
Særping,Sarpsborg
Saharan,Sahara
Sahraoui,WesternSahara
Sahrawi,WesternSahara
Sahrawian,WesternSahara
Saigoner,Saigon
Saigonese,HoChiMinhCity
SaintHelenian,SaintHelena
SaintLucian,SaintLucia
SaintPetersburgian,SaintPetersburg
SaintVincentian,SaintVincentAndGrenadines
SaintMartinoise,SaintMartin
SaintPierrais,SaintPierreAndMiquelon
Salamanqués,Salamanca
Salamanquino,Salamanca
Salaminian,Salamis
Saldubense,Zaragoza
Salemander,Salem
Salernitan,Salerno
Salmanticense,Salamanca
Salmantino,Salamanca
Salopian,Shropshire
SaltLake,SaltLakeCity
Salteño,Salta
Saltillense,Saltillo
Salvadoran,ElSalvador
Salvadoreño,ElSalvador
Salvadorense,Salvador
Samareño,Samar
Samaritan,Samaria
Samian,Samos
Sammarinese,SanMarino
Samnite,Samnium
Samoan,Samoa
Samogitian,Samogitia
Sampetrino,SanPedroGarzaGarcía
Samsing,Samsø
SanAntonian,SanAntonio
SanDiegan,SanDiego
SanFranciscan,SanFrancisco
SanJosean,SanJose
SanMarinese,SanMarino
SandCutter,Arizona
Sandgroper,WesternAustralia
SandHiller,Georgia
Sandlapper,SouthCarolina
Sanjuanino,SanJuan
Sanluiseño,SanLuis
Sanmartinense,SanMartín
SantaClaritan,SantaClarita
SantaCruzan,SantaCruz
Santacruceño,SantaCruz
Santafecino,SantaFe
Santarroseño,SantaRosa
Santiagueño,SantiagoDelEstero
SaoTomean,SaoTomeAndPrincipe
SãoToméan,SãoToméAndPríncipe
Sãocarlense,SãoCarlos
SãoLuisense,SãoLuís
Sarajevan,Sarajevo
Sarangan,Sarangani
Sarawakian,Sarawak
Sardi,Sardinia
Sardian,Sardis
Sardianus,Sardis
Sardinian,Sardinia
Sarkese,Sark
Sarmata,Sarmatia
Sarmatian,Sarmatia
Sarnian,Guernsey
Sarping,Sarpsborg
Saskatchewan,Saskatchewan
Saskatchewanan,Saskatchewan
Saskatchewanian,Saskatchewan
Saskatonian,Saskatoon
Saskatoon,Saskatoon
Saudi,SaudiArabia
SaudiArabian,SaudiArabia
Sauromata,Sarmatia
Savannaian,Savannah
Savoyard,Savoy
Saxon,Saxony
Scandinavian,Scandinavia
Scillonian,IslesOfScilly
Sconnie,Wisconsin
Scot,Scotland
Scots,Scotland
Scottish,Scotland
Scouse,Liverpool
Scouser,Liverpool
Scytha,Scythia
Scythian,Scythia
Seattleite,Seattle
Segobricense,Segorbe
Segobrigense,Segorbe
Segorbino,Segorbe
Segovian,Segovia
Segoviano,Segovia
Selangorean,Selangor
Semitic,Semite
Senegalese,Senegal
Seoulite,Seoul
Septense,Ceuta
Serb,Serbia
Serbian,Serbia
Sergipano,Sergipe
Serrean,Serrae
Sevillano,Sevilla
Sevillian,Seville
Seychellois,Seychelles
Shanghainese,Shanghai
Shikokuan,Shikoku
Shkodran,Shkoder
Siamese,Siam
Siberian,Siberia
Sibugay,ZamboangaSibugay
Sicilian,Sicily
Sicyonese,Sicyon
Siddis,Stavanger
Sidonian,Sidon
Sienese,Siena
Siennese,Siena
SierraLeonean,SierraLeone
Sikkimese,Sikkim
Silesian,Silesia
Silhillian,Solihull
SilverLaker,SilverLake
Sinaloan,Sinaloa
Sinaloense,Sinaloa
Sindhi,Sindh
Singapore,Singapore
Singaporean,Singapore
SintEustatius,SintEustatius
SintMaarten,SintMaarten
SiouxCityan,SiouxCity
Siquijorian,Siquijor
Sjællænder,Zealand
Skagbo,Skagen
Skaroene,Skaro
Skarosian,Skaro
Skopelitan,Skopelos
Skopjan,Skopje
Sligonian,Sligo
Slovak,Slovakia
Slovakian,Slovakia
Slovene,Slovenia
Slovenian,Slovenia
Sluff,Slough
Sofian,Sofia
Sogning,SognOgFjordane
SolomonIsland,SolomonIslands
SolomonIslander,SolomonIslands
Somali,Somalia
Somalian,Somalia
Somalilander,Somaliland
Somersite,Somers
Sonoran,Sonora
Sonorense,Sonora
Sontaran,Sontar
Sooner,Oklahoma
Soriano,Soria
Sorrentine,Sorrento
Sorsogonian,Sorsogon
Sorsogueño,Sorsogon
Sørtrønder,SørTrøndelag
Soteropolitano,Salvador
SouthAfrican,SouthAfrica
SouthAgusanian,AgusanDelSur
SouthAmerican,SouthAmerica
SouthAustralian,SouthAustralia
SouthCamarinean,CamarinesSur
SouthCarolinian,SouthCarolina
SouthCotabatan,SouthCotabato
SouthCotabateño,SouthCotabato
SouthDakotan,SouthDakota
SouthDavao,DavaoDelSur
SouthGeorgia,SouthGeorgiaAndTheSouthSandwichIslands
SouthIlocos,IlocosSur
SouthIsland,SouthIsland
SouthKorean,SouthKorea
SouthLanao,LanaoDelSur
SouthLowerCalifornian,BajaCaliforniaSur
SouthOssetian,SouthOssetia
SouthSandwichIslands,SouthGeorgiaAndTheSouthSandwichIslands
SouthSudanese,SouthSudan
SouthSurigaoan,SurigaoDelSur
SouthZamboangan,ZamboangaDelSur
SouthernAustralian,SouthAustralia
SouthernLeytenian,SouthernLeyte
Southland,SouthlandRegion
Soviet,SovietUnion
Spaniard,Spain
Spanish,Spain
Spartan,Sparta
Spokanite,Spokane
Spoletian,Spoleto
Springfieldianite,Springfield
SriLankan,SriLanka
StCrucian,StCroix
StLouisan,StLouis
StTomian,StThomas
StatenIsland,StatenIsland
Statian,SintEustatius
Stephanois,StEtienne
StewartIsland,StewartIsland
Stockholmer,Stockholm
Stopfordian,Stockport
Strasbourgeois,Strasbourg
Stril,Bergen
Stuttgarter,Stuttgart
Styrian,Styria
Sudanese,Sudan
Sudetes,Sudetenland
Suebius,Suebia
SulRioGrandense,RioGrandeDoSul
SultanKudaratenian,SultanKudarat
SultanKudarateño,SultanKudarat
Sulu,Sulu
Suluan,Sulu
Suluano,Sulu
Sumatran,Sumatra
Sumerian,Sumer
Sundanese,Java
Sunflower,Kansas
Sunnmøring,Sunnmøre
Surcano,Surco
Surinamer,Suriname
Surinamese,Suriname
Svalbard,Svalbard
SwampYankee,RhodeIsland
Swansean,Swansea
Swazi,Swaziland
Swede,Sweden
Swedish,Sweden
Swindonian,Swindon
Swiss,Switzerland
Sydney,Sydney
Sydneysider,Sydney
SydneySider,Sydney
Symian,Symi
Syracusan,Syracuse
Syracusian,Syracuse
Syrian,Syria
Tab,Cambridge
Tabasqueño,Tabasco
Tacneño,Tacna
Tacomian,Tacoma
Tadzhik,Tajikistan
Taff,Wales
Tahitian,Tahiti
Taiwanese,Taiwan
Tajik,Tajikistan
Tajikistani,Tajikistan
Talabricense,TalaveraDeLaReina
Talaverano,TalaveraDeLaReina
Tallinner,Tallinn
Tamaulipan,Tamaulipas
Tamaulipeco,Tamaulipas
Tamil,TamilNadu
Tamilian,TamilNadu
Tampanian,Tampa
Tanzanian,Tanzania
Tapatío,Guadalajara
TarBoiler,NorthCarolina
TarHeel,NorthCarolina
Taranaki,TaranakiRegion
Tarantine,Taranto
Tarapotino,Tarapoto
Tarentine,Taranto
Tarentumian,Taras
Tarlaquenian,Tarlac
Tarlaqueño,Tarlac
Tarraconense,Tarragona
Tarraconista,Tarragona
Tasman,TasmanRegion
Tasmaniac,Tasmania
Tasmanian,Tasmania
Tassie,Tasmania
Taswegian,Tasmania
Tatar,Tatarstan
TawiTawian,TawiTawi
Tbilisian,Tbilisi
Tegean,Tegea
Tejano,Texas
TelAvivi,TelAviv
Telanganite,Telangana
Telemarking,Telemark
Tenedian,Tenedos
Tenesseean,Tennessee
Tennesseean,Tennessee
Tepiqueño,Tepic
Tepiquense,Tepic
Terengganuan,Terengganu
Teresinense,Teresina
Territorian,NorthernTerritory
Texian,Texas
Texican,Texas
Thai,Thailand
Thasian,Thasos
Theban,Thebes
Thespian,Thespis
Thessalian,Thessaly
Thessalonian,Thessaloniki
Thracian,Thrace
Thriasian,Thria
Thurian,Thurii
Thuriat,Thuria
Thuringian,Thuringia
Thybo,Thy
Tibetan,Tibet
Timorese,TimorLeste
Tinerfeño,SantaCruzDeTenerife
Tiranas,Tirana
Titletowner,GreenBay
Tlaxcalteca,Tlaxcala
Tobagonian,TrinidadAndTobago
Toboesco,ElToboso
Toboseño,ElToboso
Tobosino,ElToboso
Tocantinense,Tocatins
Togolese,Togo
Tokelauan,Tokelau
Tokyoite,Tokyo
Toledano,Toledo
Toledoan,Toledo
Toluqueño,Toluca
Tongan,Tonga
Toowoomban,Toowoomba
Toresano,Toro
Torinese,Turin
Torontonian,Toronto
Tournaisian,Tournai
Towcestrian,Towcester
Townsvillian,Townsville
Transylvanian,Transylvania
Trevorite,Trevor
Trichonian,Trichonos
Tridentine,Trent
Triestine,Trieste
Trifluvian,TroisRivières
Trifluvien,TroisRivières
Trifluvienne,TroisRivières
Trinibagonians,TrinidadAndTobago
Trinidadian,TrinidadAndTobago
Trinis,TrinidadAndTobago
Tripolitan,Tripoli
Tripuran,Tripura
Tripuri,Tripura
Troezenian,Troezen
TroisRivieran,TroisRivières
Troll,Michigan
Tromsøværing,Tromsø
Tromsværing,Troms
Trønder,Trondheim
Trujillano,Trujillo
Tucsonan,Tucson
Tucumano,Tucumán
Tukker,Twente
Tulsan,Tulsa
Tumbecino,Tumbes
Tunisian,Tunisia
Turboleta,Teruel
Turinese,Turin
Turk,Turkey
Turkic,Turkey
Turkish,Turkey
Turkmen,Turkmenistan
Turkmenistani,Turkmenistan
TurksAndCaicosIsland,TurksAndCaicosIslands
Turolense,Teruel
Tuscan,Tuscany
Tuvaluan,Tuvalu
Tuxtleco,TuxtlaGutiérrez
TwinLaker,TwinLakes
Tyke,Yorkshire
Tyrolean,Tyrol
Tyrolese,Tyrol
USVirginIsland,UnitedStatesVirginIslands
Uberlandense,Uberlândia
Ugandan,Uganda
Uk,UnitedKingdom
Ukrainian,Ukraine
Ulsterman,NorthernIreland
Umbrian,Umbria
UnitedStates,UnitedStates
Urcitano,Almería
Uruguayan,Uruguay
US,UnitedStates
US,UnitedStates
Ushuaiense,Ushuaia
Utahn,Utah
Utopian,Utopia
UttarPradeshi,UttarPradesh
Uttarakhandi,Uttarakhand
Uzbek,Uzbekistan
Uzbekistani,Uzbekistan
Valencian,Valencia
Valenciano,Valencia
Valisoletano,Valladolid
Vallisoletano,Valladolid
Vancouverite,Vancouver
Vanuatuan,Vanuatu
Varsovian,Warsaw
Vashonite,VashonIsland
Vatican,VaticanCityState
Venetian,Venice
Venezuelan,Venezuela
Veracruzano,Veracruz
Vermonter,Vermont
Veronese,Verona
Verulamian,StAlbans
VestAgding,VestAgder
Vestfolding,Vestfold
Vicense,Vich
Vicentine,Vicenza
Vichyssois,Vichy
Victorian,Victoria
Viedmense,Viedma
Viennese,Vienna
Vietnamese,Vietnam
Vigitano,Vich
Villahermosino,Villahermosa
Villermosino,Villahermosa
Vilnian,Vilnius
Vincentian,SaintVincentAndGrenadines
VirginIslander,VirginIslands
Virginian,Virginia
Virginians,Virginia
Vitoriense,Vitória
Vizcayense,Vizcaya
VolcanoIslander,VolcanoIslands
Vulcan,Vulcan
Vulcanian,Vulcan
Waikato,WaikatoRegion
Wakandan,Wakanda
Wakean,WakeIsland
Wallachian,Wallachia
WallisAndFutuna,WallisAndFutuna
Wallisian,WallisAndFutuna
Walloon,Wallonia
Washingtonian,Washington
Waterfordian,Waterford
Waterluvian,Waterloo
Weegie,Glasgow
Wellington,Wellington
Welsh,Wales
Welshman,Wales
Welshwoman,Wales
Wenhamite,Wenham
WestCoast,WestCoastRegion
WestIndian,WestIndies
WestMalaysian,PeninsularMalaysia
WestMindorenian,OccidentalMindoro
WestMisamis,MisamisOccidental
WestNegros,NegrosOccidental
WestPapuan,WestPapua
WestSamarian,Samar
WestVirginian,WestVirginia
WesternAustralian,WesternAustralia
WesternDavao,DavaoOccidental
Westphalian,Westphalia
Westralian,WesternAustralia
Wheatlander,Wheatland
Whittierite,Whittier
Wichitan,Wichita
Wiener,Vienna
Wilmotter,Wilmot
Winnipegger,Winnipeg
Wisconsinite,Wisconsin
Wolverine,Michigan
Wrexhamite,Wrexham
Wulfrunian,Wolverhampton
Wyomingite,Wyoming
Xalapeño,Xalapa
Xanthian,Xanthi
Yakut,Yakutia
Yellowknifer,Yellowknife
Yemeni,Yemen
Yemenite,Yemen
Yerevantsi,Yerevan
Yerushalmi,Jerusalem
Yokohaman,Yokohama
Yooper,Michigan
Yorkie,Yorkshire
Yorkshireman,Yorkshire
Yorkshirewoman,Yorkshire
Yucateco,Yucatán
Yugoslav,Yugoslavia
Yukon,Yukon
Yukoner,YukonTerritory
Yukonian,YukonTerritory
Yukonite,YukonTerritory
Yupper,UpperPeninsula
Zacatecan,Zacatecas
Zacatecano,Zacatecas
Zagrebian,Zagreb
Zairean,Zaire
Zakyntian,Zakynthos
Zambalean,Zambales
Zambaleño,Zambales
Zambian,Zambia
Zamboangueño,ZamboangaDelNorte
Zamorano,Zamora
Zamorense,Zamora
Zaragocés,Zaragoza
Zaragozano,Zaragoza
Zealander,Zealand
Zimbabwean,Zimbabwe
Zintani,Zintan
Zulu,Zululand
Zuricher,Zurich
Ecuadoran,Ecuador
